Point_ID;Sp;G_size;Date;H_first;H_last;T;T.s;Dist_.m.;Speed.m.s;Interval.min;Dist_det;Ang_det;Behaviour
7;FallowDeer;8;10/03/2020;14:02:19;14:02:22;0:00:03;3;3.30;1.10;2;4.7;16;Moving
7;FallowDeer;;10/03/2020;14:02:22;14:02:23;0:00:01;1;2.60;2.60;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:23;14:02:24;0:00:01;1;2.90;2.90;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:26;14:02:28;0:00:02;2;3.90;1.95;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:28;14:02:31;0:00:03;3;4.00;1.33;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:31;14:02:33;0:00:02;2;3.20;1.60;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:33;14:02:35;0:00:02;2;2.60;1.30;2;;;Moving
7;FallowDeer;;10/03/2020;14:02:34;14:02:38;0:00:04;4;3.80;0.95;2;;;Moving
7;FallowDeer;2;14/03/2020;9:10:57;9:11:06;0:00:09;9;8.10;0.90;2;4;14;Moving
7;FallowDeer;;14/03/2020;9:11:03;9:11:09;0:00:06;6;6.30;1.05;3;;;Moving
7;FallowDeer;9;19/03/2020;10:30:47;;NA;NA;;NA;2;5.1;-14;Moving
7;FallowDeer;;19/03/2020;10:30:49;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;19/03/2020;10:30:51;10:30:52;0:00:01;1;3.10;3.10;2;;;Moving
7;FallowDeer;;19/03/2020;10:30:53;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;19/03/2020;10:30:56;10:30:57;0:00:01;1;3.30;3.30;2;;;Moving
7;FallowDeer;;19/03/2020;10:30:58;10:30:59;0:00:01;1;1.10;1.10;2;;;Moving
7;FallowDeer;;19/03/2020;10:31:01;10:31:02;0:00:01;1;2.30;2.30;2;;;Moving
7;FallowDeer;;19/03/2020;10:31:03;10:31:05;0:00:02;2;2.30;1.15;2;;;Moving
7;FallowDeer;;19/03/2020;10:31:16;;NA;NA;;NA;2;;;Moving
7;FallowDeer;10;21/03/2020;12:36:20;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:21;12:36:23;0:00:02;2;2.60;1.30;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:23;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:25;12:36:26;0:00:01;1;3.60;3.60;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:27;12:36:28;0:00:01;1;2.80;2.80;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:28;12:36:29;0:00:01;1;3.50;3.50;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:31;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:44;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:48;12:36:49;0:00:01;1;2.70;2.70;2;;;Moving
7;FallowDeer;;21/03/2020;12:36:50;12:36:51;0:00:01;1;3.40;3.40;2;;;Moving
7;FallowDeer;1;22/03/2020;10:18:40;;NA;NA;;NA;2;4;1;Moving
7;FallowDeer;14;27/03/2020;19:16:42;;NA;NA;;NA;2;4.5;0;Moving
7;FallowDeer;;27/03/2020;19:16:44;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:45;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:46;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:47;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:50;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:50;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:52;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:54;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:54;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:56;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:16:59;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:17:00;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;27/03/2020;19:17:15;;NA;NA;;NA;2;;;Moving
7;FallowDeer;1;03/04/2020;7:59:26;7:59:27;0:00:01;1;4.10;4.10;2;4.8;17;Moving
7;FallowDeer;8;04/04/2020;14:48:19;;NA;NA;;NA;3;7;-11;Moving
7;FallowDeer;;04/04/2020;14:48:23;14:48:30;0:00:07;7;0.90;0.13;2;;;Moving
7;FallowDeer;;04/04/2020;14:48:23;;NA;NA;;NA;2;;;Moving
7;FallowDeer;;04/04/2020;14:48:33;14:48:38;0:00:05;5;2.50;0.50;2;;;Feeding
7;FallowDeer;;04/04/2020;14:48:36;14:48:49;0:00:13;13;3.20;0.25;3;;;Feeding
7;FallowDeer;;04/04/2020;14:48:43;14:49:15;0:00:32;32;5.30;0.17;3;;;Feeding
7;FallowDeer;;04/04/2020;14:49:16;14:49:17;0:00:01;1;0.90;0.90;2;4;18;Moving
7;FallowDeer;;04/04/2020;14:49:22;;NA;NA;;NA;2;6;15;Moving
7;FallowDeer;;04/04/2020;14:49:24;14:49:25;0:00:01;1;4.60;4.60;3;;;Moving
7;FallowDeer;1;05/04/2020;9:04:32;;NA;NA;;NA;2;4;18;Moving
7;FallowDeer;2;14/04/2020;22:38:37;;NA;NA;;NA;2;4;18;Moving
7;FallowDeer;;14/04/2020;22:38:46;;NA;NA;;NA;5;11;17;Moving
7;FallowDeer;1;17/04/2020;7:30:08;7:30:11;0:00:03;3;4.60;1.53;2;4.5;18;Moving
9;FallowDeer;1;01/01/2020;19:42:54;;NA;NA;;NA;5;12;-6;Moving
9;FallowDeer;3;01/01/2020;20:45:55;;NA;NA;;NA;4;9;-11;Moving
9;FallowDeer;;01/01/2020;20:45:56;20:46:02;0:00:06;6;6.70;1.12;4;8.5;-14;Moving
9;FallowDeer;;01/01/2020;20:48:14;20:48:15;0:00:01;1;1.20;1.20;1;2;0;Moving
9;FallowDeer;;01/01/2020;20:48:28;;NA;NA;;NA;3;7;-14;Moving
9;FallowDeer;6;02/01/2020;0:48:25;0:48:37;0:00:12;12;4.50;0.38;3;7;7;Feeding
9;FallowDeer;;02/01/2020;0:48:25;0:48:37;0:00:12;12;4.30;0.36;4;;;Feeding
9;FallowDeer;;02/01/2020;0:48:25;0:48:37;0:00:12;12;4.00;0.33;4;;;Feeding
9;FallowDeer;;02/01/2020;0:48:35;;NA;NA;;NA;1;;;Moving
9;FallowDeer;;02/01/2020;0:48:52;;NA;NA;;NA;4;;;Moving
9;FallowDeer;;02/01/2020;0:48:52;;NA;NA;;NA;4;;;Moving
9;FallowDeer;1;02/01/2020;1:00:11;;NA;NA;;NA;5;11;5;Moving
9;FallowDeer;;02/01/2020;2:25:29;2:25:52;0:00:23;23;0.70;0.03;1;1.5;17;Feeding
9;FallowDeer;1;03/01/2020;14:58:47;14:58:48;0:00:01;1;4.60;4.60;5;12;-1;Moving
9;FallowDeer;8;05/01/2020;19:10:29;19:10:38;0:00:09;9;5.00;0.56;5;11;6;Feeding
9;FallowDeer;;05/01/2020;19:10:30;19:10:38;0:00:08;8;6.60;0.83;5;;;Feeding
9;FallowDeer;;05/01/2020;19:10:33;19:10:38;0:00:05;5;5.70;1.14;5;;;Moving
9;FallowDeer;;05/01/2020;19:11:07;19:11:18;0:00:11;11;2.60;0.24;5;;;Feeding
9;FallowDeer;;05/01/2020;19:11:10;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:11:10;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:11:10;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:11:10;;NA;NA;;NA;5;;;Moving
9;FallowDeer;3;05/01/2020;19:22:15;;NA;NA;;NA;4;9;-2;Curiosity
9;FallowDeer;;05/01/2020;19:22:15;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:22:15;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:27:42;;NA;NA;;NA;1;;;Moving
9;FallowDeer;;05/01/2020;19:27:42;;NA;NA;;NA;1;;;Moving
9;FallowDeer;;05/01/2020;19:27:58;19:28:01;0:00:03;3;3.70;1.23;5;11;-6;Moving
9;FallowDeer;;05/01/2020;19:28:48;;NA;NA;;NA;1;2.3;18;Moving
9;FallowDeer;5;05/01/2020;19:32:23;19:33:09;0:00:46;46;5.20;0.11;4;7.8;10;Moving
9;FallowDeer;;05/01/2020;19:36:26;;NA;NA;;NA;5;;;Moving
9;FallowDeer;;05/01/2020;19:38:10;19:38:55;0:00:45;45;2.70;0.06;5;11;6;Moving
9;FallowDeer;2;05/01/2020;20:31:38;20:38:24;0:06:46;406;8.30;0.02;2;;15;Moving
9;FallowDeer;4;05/01/2020;21:52:40;;NA;NA;;NA;4;9.5;9;Moving
9;FallowDeer;7;05/01/2020;23:43:26;;NA;NA;;NA;2;3.5;0;Moving
9;FallowDeer;;05/01/2020;23:43:26;;NA;NA;;NA;3;;;Moving
9;FallowDeer;;05/01/2020;23:47:02;23:47:41;0:00:39;39;1.10;0.03;3;6;5;Feeding
9;FallowDeer;;05/01/2020;23:47:02;23:47:41;0:00:39;39;2.70;0.07;4;;;Moving
9;FallowDeer;;05/01/2020;23:49:07;23:49:32;0:00:25;25;2.50;0.10;2;2.8;11;Moving
9;FallowDeer;;05/01/2020;23:49:07;23:50:09;0:01:02;62;4.60;0.07;3;;;Moving
9;FallowDeer;6;12/01/2020;19:32:22;19:32:25;0:00:03;3;1.60;0.53;4;9;0;Feeding
9;FallowDeer;15;12/01/2020;19:36:08;19:36:22;0:00:14;14;3.60;0.26;2;4;5;Moving
9;FallowDeer;;12/01/2020;21:53:57;21:54:42;0:00:45;45;;0.00;1;1;-10;Feeding
9;FallowDeer;;12/01/2020;21:55:07;21:55:17;0:00:10;10;2.40;0.24;2;4.5;-17;Moving
9;FallowDeer;;12/01/2020;21:59:54;;NA;NA;;NA;5;9.5;-17;Moving
9;FallowDeer;;12/01/2020;22:04:20;22:08:13;0:03:53;233;2.30;0.01;4;9.8;4;Feeding
9;FallowDeer;;12/01/2020;22:19:05;22:19:08;0:00:03;3;5.00;1.67;4;9.5;-12;Moving
9;FallowDeer;;12/01/2020;22:19:05;22:21:04;0:01:59;119;7.50;0.06;5;;;Feeding
9;FallowDeer;;12/01/2020;22:21:17;;NA;NA;;NA;4;;;Moving
9;FallowDeer;;12/01/2020;22:26:25;22:26:37;0:00:12;12;3.00;0.25;2;;;Moving
9;FallowDeer;;12/01/2020;22:26:36;;NA;NA;;NA;2;;;Moving
9;FallowDeer;;12/01/2020;22:26:44;22:27:04;0:00:20;20;2.70;0.14;2;;;Moving
9;FallowDeer;3;12/01/2020;23:37:35;23:37:36;0:00:01;1;1.80;1.80;5;9.5;7;Moving
9;FallowDeer;9;12/01/2020;19:17:58;;NA;NA;;NA;5;12;0;Moving
9;FallowDeer;10;12/01/2020;19:32:16;19:32:20;0:00:04;4;1.10;0.28;3;7;6;Moving
9;FallowDeer;5;01/02/2020;20:23:55;20:24:05;0:00:10;10;7.30;0.73;5;15;3;Moving
9;FallowDeer;;01/02/2020;20:24:05;20:24:18;0:00:13;13;5.90;0.45;5;;;Moving
9;FallowDeer;;01/02/2020;20:24:16;20:24:35;0:00:19;19;7.50;0.39;5;;;Moving
9;FallowDeer;;01/02/2020;20:25:42;20:25:47;0:00:05;5;7.00;1.40;5;;;Moving
9;FallowDeer;3;01/02/2020;23:17:26;;NA;NA;;NA;5;20;4;Moving
9;FallowDeer;3;23/12/2019;19:23:33;;NA;NA;;NA;5;15;2;Moving
9;FallowDeer;3;23/12/2019;20:29:31;;NA;NA;;NA;5;20;-7;Moving
9;FallowDeer;11;25/12/2019;19:03:57;;NA;NA;;NA;5;14;0;Moving
